영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg
Alesund Airport,바이그라 공항,AES,ENAL,유럽,Norway,노르웨이,Aalesund
Aarhus Airport,터스럽 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus
Abadan Airport,아바단 공항,ABD,OIAA,중동,Iran,이란,Abadan
Abaiang Airport,아바이앙 공항,ABF,NGAB,대양주,Kiribati,키리바시,Abaiang
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russian Federation,러시아,Abakan
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX,북미,Canada,캐나다,Abbotsford
Abecher Airport,아베셰 공항,AEH,FTTC,아프리카,Chad,차드,Abeche
Abemama Airport,아베마마 공항,AEA,NGTB,대양주,Kiribati,키리바시,Abemama
Aberdeen Regional Airport,애버딘 지역공항,ABR,KABR,북미,United States of America,미국,Aberdeen
Aberdeen International Airport,다이스 공항 ,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen
Abha Airport,아바 지역공항,AHB,OEAB,중동,Saudi Arabia,사우디아라비아,Abha
Abidjan Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,아프리카,Cote d'Ivoire,코트디부아르,Abidjan
Abilene Regional Airport,애빌린 시공항,ABI,KABI,북미,United States of America,미국,Abilene
Abingdon Virginia Highlands Airport,애빙던 버지니아 하이랜드 공항,VJI,KVJI,북미,United States of America,미국,Abingdon
Mota Lava Airport,모타라바 공항,MTV,,대양주,Vanuatu,바누아투,Ablow
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동,United Arab Emirates,UAE,Abu Dhabi
Al Bateen Executive Airport,바틴 공항,AZI,OMAD,중동,United Arab Emirates,UAE,Abu Dhabi
Delma Island Airport,달마 공항,ZDY,OMDL,중동,United Arab Emirates,UAE,ABU DHABI
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,아프리카,Egypt,이집트,Abu Simbel
Abuja Nnamdi Azikiwe International Airport,아부자 국제공항,ABV,DNAA,아프리카,Nigeria,나이지리아,Abuja
Abu Musa Airport,아부 무사 공항,AEU,OIBA,중동,Iran,이란,AbuMousa
Acapulco Alvarez International Airport,알바레즈 국제공항,ACA,MMAA,중남미,Mexico,멕시코,Acapulco
Acarigua Oswaldo Guevara Mujica Airport,오스왈도 구에바라 뮤지카 공항,AGV,,중남미,Venezuela,베네수엘라,Acarigua
Accra Kotoka International Airport,코타카 공항,ACC,DGAA,아프리카,Ghana,가나,Accra
Achutupo Airport,아추투포 공항,ACU,,중남미,Panama,파나마,Achutupo
Damazin Airport,다마진 공항,RSS,HSDZ,아프리카,Sudan,수단,Ad Damazin
Adak Island Naval Airport,아닥 공항,ADK,PADK,북미,United States of America,미국,Adak
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아,India,인도,Adampur
Sirsa Airport,시스사 공군기지,,VISA,아시아,India,인도,Adampur / Jullundur
Adana Sakirpasa Airport,아다나 공항,ADA,LTAF,유럽,Turkey,터키,Adana
Adado Airport,아다도 공항,AAD,,아프리카,Somalia,소말리아,Ad-Dabbah
Addis Ababa Bole International Airport,보울 공항,ADD,HAAB,아프리카,Ethiopia,이디오피아,Addis Ababa
Dallas Addison Airport,애디슨 공항,ADS,KADS,북미,United States of America,미국,Addison
Adelaide Airport,애들레이드 국제공항,ADL,YPAD,대양주,Australia,오스트레일리아,Adelaide
Aden International Airport,아덴 국제공항,ADE,OYAA,중동,Yemen,예멘,Aden
Adiyaman Airport,아디야만 공항,ADF,LTCP,유럽,Turkey,터키,Adıyaman
Adrar Touat Airport,투앗 공항,AZR,DAUA,아프리카,Algeria,알제리,Adrar
Afutara Aerodrome,아푸타라 공항,AFT,,대양주,Solomon Islands,솔로몬제도,Afutara
Agadez Mano Dayak International Airport,아가데즈 공항,AJY,DRZA,아프리카,Niger,니제르,Agades South
Agadir Al Massira Airport,알 마씨라 공항,AGA,GMAD,아프리카,Morocco,모로코,Agadir
Guam Antonio B Won Pat International Airport,안토니오 보르냐 원 팟 국제공항,GUM,PGUM,대양주,Guam,괌,Agana (Hagata)
Agartala Singerbhil Airport,싱거힐 공항,IXA,VEAT,아시아,India,인도,Agartala
Agatti Island Airport,아가티 비행장,AGX,VOAT,아시아,India,인도,Agatti
Agen La Garenne Airport,라 가레나 공항,AGF,LFBA,유럽,France,프랑스,Agen
Agra Kheria Airport,케리아 공항 ,AGR,VIAG,아시아,India,인도,Agra
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agrı
Aguaclara Airport,세자 공항,ACL,,중남미,Colombia,콜롬비아,Aguaclara
Aguadilla Rafael Hernandez Airport,보링겐 공항,BQN,TJBQ,북미,Puerto Rico,푸에르토리코,Aguadilla
Aguascalientes Airport,릭 지저스 테란 페러두 국제공항,AGU,MMAS,중남미,Mexico,멕시코,Aguascalientes
Aguni Airport,아구니 공항,AGJ,,아시아,Japan,일본,Aguni
Ahe Airport,아헤 공항,AHE,NTHE,대양주,French Polynesia,프랑스령폴리네시아,Ahe
Ahmedabad Sardar Vallabhbhai Patel International Airport,사다르 발랍하이 파텔 국제공항 ,AMD,VAAH,아시아,India,인도,Ahmedabad
Ahwaz Airport,아와즈 공항,AWZ,OIAW,중동,Iran,이란,Ahwaz
Westray Airport,웨스트레이 공항,WRY,EGEW,유럽,United Kingdom,영국,Aikerness
Jeh Airport,제 공항,JEJ,,대양주,Marshall Islands,마셜제도,Ailinglapalap Atoll
Ailuk Island Airport,아일룩 섬 공항,AIM,,대양주,Marshall Islands,마셜제도,Ailuk Island
Aitutaki Airport,아바루아 공항,AIT,NCAI,대양주,Cook Islands,쿡 군도,Aitutaki
Aizawl Lengpui Airport,투리알 공군기지,AJL,VELP,아시아,India,인도,Aizawl
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,LFKJ,유럽,France,프랑스,Ajaccio
Akhiok Sea Plane Base,아키옥 시플레인 베이스 공항,AKK,,북미,United States of America,미국,Akhiok
Akiak Airport,아키악 공항,AKI,,북미,United States of America,미국,Akiak
Akita Airport,아키타 공항,AXT,RJSK,아시아,Japan,일본,Akita
Aklavik Airport,아클라빅 공항,LAK,CYKD,북미,Canada,캐나다,Aklavik
Akola Airport,아콜라 공항,AKD,VAAK,아시아,India,인도,Akola
Akron-Canton Airport,애크런 캔튼 지역공항,CAK,KCAK,북미,United States of America,미국,Akron
Aksu Wensu Airport,아커쑤 공항,AKU,ZWAK,아시아,China,중국,Aksu
Aktau Airport,악카우 공항,SCO,UATE,아시아,Kazakhstan,카자흐스탄,Aktau
Aktobe Airport,악튜빈스크 공항,AKX,UATT,아시아,Kazakhstan,카자흐스탄,Aktyubinsk
Akulivik Airport,아큘리빅 공항,AKV,CYKO,북미,Canada,캐나다,Akulivik
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Nigeria,나이지리아,Akure
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri
Akutan Airport,아쿠탄 공항,KQA,PAUT,북미,United States of America,미국,Akutan
Al Ain International Airport,알아인 국제공항,AAN,OMAL,중동,United Arab Emirates,UAE,Al Ain
Al Ghaydah Airport,알 가이다 공항,AAY,,중동,Yemen,예멘,Al Ghaidah
Al Hoceima Cherif Al Idrissi Airport,샤리프 알 잇드리시 공항,AHU,GMTA,아프리카,Morocco,모로코,Al Hoceima
Al-Ahsa Airport,알 아샤 국내공항,HOF,OEAH,중동,Saudi Arabia,사우디아라비아,Al-Ahsa
Alakanuk Airport,알라카누크 공항,AUK,,북미,United States of America,미국,Alakanuk
Alamogordo-White Sands Regional Airport,앨라모고도 화이트 샌즈 지역공항,ALM,KALM,북미,United States of America,미국,Alamogordo
San Luis Valley Regional Airport,샌 루이스 밸리 지역공항,ALS,KALS,북미,United States of America,미국,Alamosa
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete
Al-Baha Al-Aqiq Airport,알 아키크 공항,ABT,OEBA,중동,Saudi Arabia,사우디아라비아,Al-Baha
Southwest Georgia Regional Airport,사우스웨스트 조지아 공항,ABY,KABY,북미,United States of America,미국,Albany
Albany International Airport,올버니 국제공항,ALB,KALB,북미,United States of America,미국,Albany
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany
Albert Picardie Airport,앨버트 브라이 공항,BYF,LFAQ,유럽,France,프랑스,Albert
Albuquerque International Sunport Airport,앨버커키 국제선포트,ABQ,KABQ,북미,United States of America,미국,Albuquerque
Albury Airport,엘버리 공항,ABX,YMAY,대양주,Australia,오스트레일리아,Albury
Aldan Airport,알단 공항,ADH,UEEA,유럽,Russian Federation,러시아,Aldan
Alderney Airport,더 블라예 공항,ACI,EGJA,유럽,Guernsey,건지,Alderney
Alegrete Gaudencio Machado Ramos Airport,페데랄 공항,ALQ,SSLT,중남미,Brazil,브라질,Alegrete
Aleknagik Airport,알레크나기크 공항,WKK,,북미,United States of America,미국,Aleknagik
Aleppo Nejrab Airport,네즈랍 공항,ALP,OSAP,중동,Syria,시리아,Aleppo
Alexandra Airport,알렉산드라 비행장,ALR,NZLX,대양주,New Zealand,뉴질랜드,Alexandra
Alexandria International Airport (USA),알렉산드리아 국제공항,AEX,KAEX,북미,United States of America,미국,Alexandria
Alexandria El Nouzha Airport,엘 노흐자 공항,ALY,HEAX,아프리카,Egypt,이집트,Alexandria
Alexandria Borg el Arab Airport,보르헤 헬 아랍 공항,HBE,HEBA,아프리카,Egypt,이집트,Alexandria
Alexandroupolis Dimokritos Airport,데모크리토스 공항,AXD,LGAL,유럽,Greece,그리스,Alexandroupolis
Fujairah International Airport,알푸자이라 국제공항,FJR,OMFJ,중동,United Arab Emirates,UAE,Al-Fujairah
Algeciras Heliport,알헤시라스 헬리포트,AEI,,유럽,Spain,스페인,Algeciras
Alghero Fertilia Airport,퍼틸랴 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero
Algiers Houari Boumediene Airport,훼리 부미딘 공항,ALG,DAAG,아프리카,Algeria,알제리,Algiers
Alicante Elche Miguel Hernandez Airport,알리칸테 공항,ALC,LEAL,유럽,Spain,스페인,Alicante
Alice International Airport,앨리스 국제공항,ALI,KALI,북미,United States of America,미국,Alice
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,대양주,Australia,오스트레일리아,Alice Springs
Al Jouf Airport,알 주프 국내공항,AJF,OESK,중동,Saudi Arabia,사우디아라비아,al-Jouf ( al-Jawf  )
Allahabad Bamrauli Airport,밤라울리 공항,IXD,VIAL,아시아,India,인도,Allahabad
Allakaket Airport,알라카케트 공항,AET,,북미,United States of America,미국,Allakaket
Alliance Municipal Airport,알리앙스 시공항,AIA,KAIA,북미,United States of America,미국,Alliance
Alma Airport,알마 공항,YTF,CYTF,북미,Canada,캐나다,Alma
Almaty International Airport,알마티 공항,ALA,UAAA,아시아,Kazakhstan,카자흐스탄,Almaty
Almeria Airport,알메리아 국제공항,LEI,LEAM,유럽,Spain,스페인,Almeria
Niue Island Hanan Airport,니우에 하난 국제공항,IUE,NIUE,대양주,Niue,니우에,"Alofi, Niue Island"
Along Airport,알롱 공항,IXV,VEAN,아시아,India,인도,Along
Alor Island Airport,알로르 섬 공항,ARD,WATM,아시아,Indonesia,인도네시아,Alor Island
Alor Setar Airport,술탄 압둘 하림 공항,AOR,WMKA,아시아,Malaysia,말레이시아,Alor Setar
Alotau Gurney Airport,건지 공항,GUR,AYGN,대양주,Papua New Guinea,파푸아뉴기니,Alotau
Alpena County Regional Airport,앨피너 카운티 지역공항,APN,KAPN,북미,United States of America,미국,Alpena
Alpine-Casparis Municipal Airport,알파인카스파리스 공항,ALE,,북미,United States of America,미국,Alpine
Alta Airport,알타 공항,ALF,ENAT,유럽,Norway,노르웨이,Alta
Alta Floresta Airport,알타플로레스타 공항,AFL,SBAT,중남미,Brazil,브라질,Alta Floresta
Altai Airport,알타이 공항,LTI,,아시아,Mongolia,몽고,Altai
Altamira Airport,알타미라 공항,ATM,SBHT,중남미,Brazil,브라질,Altamira
Altay Airport,알타이 공항,AAT,ZWAT,아시아,China,중국,Altay
Altenburg Nobitz Airport,노비츠 공항,AOC,EDAC,유럽,Germany,독일,Altenburg
St Gallen-Altenrhein Airport,세인트 갈런 알테르하임 공항,ACH,LSZR,유럽,Switzerland,스위스,Altenrhein
Alto Rio Senguer Airport,알토리오센구어 공항,ARR,,중남미,Argentina,아르헨티나,Alto Rio Senguerr
Altoona-Blair County Airport,알투나 블래어 카운티 공항,AOO,KAOO,북미,United States of America,미국,Altoona
Al Ula Prince Abdul Majeed bin Abdulaziz Airport,프린스 압둘 마지드 빈 압둘 아지즈 국내 공항,ULH,OEAO,중동,Saudi Arabia,사우디아라비아,Al-Ula
Amakusa Airfield,아마쿠사 공항,AXJ,RJDA,아시아,Japan,일본,Amakusa
Amami Oshima Airport,아마미 공항,ASJ,RJKA,아시아,Japan,일본,Amami Oshima
Rick Husband Amarillo International Airport,릭 허즈밴드 애머릴로 국제공항,AMA,KAMA,북미,United States of America,미국,Amarillo
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP,유럽,Turkey,터키,Amasya
Ambala Airport,암발라 공항,,VIAM,아시아,India,인도,Ambala
Ambatomainty Airport,암바토메인티 공항,AMY,,아프리카,Madagascar,마다가스카르,Ambatomainty
Ambatondrazaka Airport,암바튼드라제이카 공항,WAM,FMMZ,아프리카,Madagascar,마다가스카르,Ambatondrazaka
Ambler Airport,엠블러 공항,ABL,PAFM,북미,United States of America,미국,Ambler
Ambon Pattimura Airport,파티무라 공항,AMQ,WAPP,아시아,Indonesia,인도네시아,Ambon
Amboseli Airport,암보셀리 공항,ASV,HKAM,아프리카,Kenya,케냐,Amboseli
Amderma Airport,암더마 공항,AMV,,유럽,Russian Federation,러시아,Amderma
Amgu Airport,암구 공항,AEM,,유럽,Russian Federation,러시아,Amgu
Amman Civil Airport,암만 시빌 마르카 공항,ADJ,OJAM,중동,Jordan,요르단,Amman
Amman Queen Alia International Airport,퀸 알리아 국제공항,AMM,OJAI,중동,Jordan,요르단,Amman
Tasiilaq Airport,앙막쌀릭 공항,AGM,,유럽,Greenland,그린란드,Ammassalik
Amook Airport,아묵 공항,AOS,,북미,United States of America,미국,Amook Bay
Ampara Kondavattavan Tank Airport,암파라 콘다바타반 탱크 공항,AFK,,아시아,Sri Lanka,스리랑카,Ampara
Amritsar Sri Guru Ram Dass Jee Airport,라자 산시 공항,ATQ,VIAR,아시아,India,인도,Amritsar
Amsterdam Schiphol Airport,스키폴 공항,AMS,EHAM,유럽,Netherlands,네덜란드,Amsterdam
Anaa Airport,아나 공항,AAA,NTGA,대양주,French Polynesia,프랑스령폴리네시아,Anaa
Wichita Colonel James Jabara Airport,아나코 공항,AAO,KAAO,북미,United States of America,미국,Anaco
Anadyr Airport,우골리 공항,DYR,UHMA,유럽,Russian Federation,러시아,Anadyr
Maasai Mara Angama Airport,마사이 마라 앙가마 공항,ANA,,아프리카,Kenya,케냐,"Anaheim, CA"
Anahim Lake Airport,아나힘 레이크 공항,YAA,,북미,Canada,캐나다,Anahim Lake
Anaktuvuk Airport,아나트쿠부크 패스 공항,AKP,PAKP,북미,United States of America,미국,Anaktuvuk Pass
Anapa Vityazevo Airport,비타야제프 공항,AAQ,URKA,유럽,Russian Federation,러시아,Anapa
Aneityum Airport,애이티움 공항,AUY,,대양주,Vanuatu,바누아투,Anatom Island
Ted Stevens Anchorage International Airport,테드 스티븐스 국제공항 ,ANC,PANC,북미,United States of America,미국,Anchorage
Ancona Marche Airport,팔코나라 공항,AOI,LIPY,유럽,Italy,이탈리아,Ancona
Andahuaylas Airport,안다훼이라스 공항,ANS,,중남미,Peru,페루,Andahuaylas
Andamooka Airport,안다모카 공항,ADO,YAMK,대양주,Australia,오스트레일리아,Andamooka
Andenes Airport,안도야 공항,ANX,ENAN,유럽,Norway,노르웨이,Andenes
Andizhan Airport,안디잔 공항,AZN,UTFA,아시아,Uzbekistan,우즈베키스탄,Andizhan
San Andros Airport,산안드로스 공항,SAQ,MYAN,중남미,Bahamas,바하마,Andros Island
Anegada Airport,아네가다 공항,NGD,,중남미,British Virgin Islands,영국령 버진아일랜드,Anegada
Angers Loire Airport,마르세 공항 ,ANE,LFRJ,유럽,France,프랑스,Angers
Anglesey Airport,밸리 공군기지,VLY,EGOV,유럽,United Kingdom,영국,Anglesey
Angling Lake Airport,앵글로 레이크 공항,YAX,,북미,Canada,캐나다,Angling Lake
Angoon Airport,앵군 수상비행장,AGN,,북미,United States of America,미국,Angoon
Angouleme Brie Champniers Airport,브리에 샹프니에 공항,ANG,LFBU,유럽,France,프랑스,Angouleme
Aniak Airport,애니악 공항,ANI,PANI,북미,United States of America,미국,Aniak
Aniwa Airport,아니와 공항,AWD,,대양주,Vanuatu,바누아투,Aniwa
Anjouan Ouani Airport,쿠아니 공항,AJN,FMCV,아프리카,Comoros,코모로,Anjouan
Ankang Fuqiang Airport,안강 울리푸 공항,AKA,ZLAK,아시아,China,중국,Ankang
Ankara Etimesgut AFB Airport,앙카라 타임스구트 AFB 공항,ANK,LTAD,유럽,Turkey,터키,Ankara
Ankara Esenboga Airport,에센보가 공항,ESB,LTAC,유럽,Turkey,터키,Ankara
Ankavandra Airport,안카반드라 공항,JVA,,아프리카,Madagascar,마다가스카르,Ankavandra
Annaba Rabah Bitat Airport,레 살린 공항  ,AAE,DABB,아프리카,Algeria,알제리,Annaba
Annecy-Meythet Airport,안시 메이스 공항,NCY,LFLP,유럽,France,프랑스,Annecy
Anqing Tianzhushan Airport,안칭 공항,AQG,ZSAQ,아시아,China,중국,Anqing
Anshan Teng'ao Airport,안산 공항,AOG,ZYAS,아시아,China,중국,Anshan
Anshun Huangguoshu Airport,후앙 구오 수 공항,AVA,ZUAS,아시아,China,중국,Anshun
Anta Airport,안타공항,ATA,,중남미,Peru,페루,Anta / Huaraz
Hatay Airport,하타이 공항,HTY,LTDA,유럽,Turkey,터키,Antakya
Antalaha Antsirabato,안치라바토 공항,ANM,FMNH,아프리카,Madagascar,마다가스카르,Antalaha
Antalya Airport,안탈리아 공항,AYT,LTAI,유럽,Turkey,터키,Antalya
Antananarivo Ivato International Airport,아바토 국제공항,TNR,FMMI,아프리카,Madagascar,마다가스카르,Antananarivo
Antofagasta Cerro Moreno Airport,세로 모레노 공항,ANF,SCFA,중남미,Chile,칠레,Antofagasta
Antsirabe Airport,안트시라베 공항,ATJ,FMME,아프리카,Madagascar,마다가스카르,Antsirabe
Antsiranana Arrachart Airport,아라차트공항,DIE,FMNA,아프리카,Madagascar,마다가스카르,Antsiranana
Antsohihy Ambalabe Airport,암발라브 공항,WAI,FMNW,아프리카,Madagascar,마다가스카르,Antsohihy
Antwerp International Airport,앤트워프 국제공항 ,ANR,EBAW,유럽,Belgium,벨기에,"Antwerp , Brussels"
Anvik Airport,앤빅 공항,ANV,PANV,북미,United States of America,미국,Anvik
Anyang Hongqiqu Airport,안양 공항,AYN,ZHAY,아시아,China,중국,Anyang
Aomori Airport,아오모리 공항,AOJ,RJSA,아시아,Japan,일본,Aomori
Aosta Corrado Gex Airport,코래도 젝스 공항,AOT,LIMW,유럽,Italy,이탈리아,Aosta
Apartado Antonio Roldan Betancourt Airport,안토니오 롤란 베탄코트 공항,APO,SKLC,중남미,Colombia,콜롬비아,Apartado
Apataki Airport,아파타키 공항,APK,,대양주,French Polynesia,프랑스령폴리네시아,Apataki
Kirovsk/Apatity Khibiny Airport,키로프스크-아파르 티 공항,KVK,ULMK,유럽,Russian Federation,러시아,Apatity
Apia Faleolo Airport,팔레오로 공항,APW,NSFA,대양주,Samoa,사모아,Apia
Apia Fagali'i Airport,파갈리이 공항,FGI,NSFI,대양주,Samoa,사모아,Apia
Apolo Airport,아폴로 공항,APB,SLAP,중남미,Bolivia,볼리비아,Apolo
Aqaba King Hussein International Airport,킹 후세인 국제공항 ,AQJ,OJAQ,중동,Jordan,요르단,Aqaba
Aracaju Airport,산타마리아 공항,AJU,SBAR,중남미,Brazil,브라질,Aracaju
Aracatuba Airport,아라카츄바 공항,ARU,SBAU,중남미,Brazil,브라질,Aracatuba
Arad Airport,아라드 국제공항,ARW,LRAR,유럽,Romania,루마니아,Arad
Araguaina Airport,아라과이나 공항,AUX,SWGN,중남미,Brazil,브라질,Araguaina
Araak Airport,아라크 공항,AJK,OIHR,중동,Iran,이란,Arak
Aranuka Buariki Airport,아라누카 공항,AAK,NGUK,대양주,Kiribati,키리바시,Aranuka
Arapongas Alberto Bertelli Airport,아라퐁가스 알베르토 베르텔리 공항,APX,SSOG,중남미,Brazil,브라질,Arapongas
Arar Airport,아라 국내공항,RAE,OERR,중동,Saudi Arabia,사우디아라비아,Arar ( Ar'ar )
Araracuara Airport,아라라쿠아라 공항,ACR,,중남미,Colombia,콜롬비아,Araracuara
Araraquara Bartolomeu de Gusmao Airport,아라라쿠아라 공항,AQA,SBAQ,중남미,Brazil,브라질,Araraquara
Aratika Airport,아라티카노르드 공항,RKA,,대양주,French Polynesia,프랑스령폴리네시아,Aratika
Arauca Airport,산티아고 페레즈 공항,AUC,SKUC,중남미,Colombia,콜롬비아,Arauca
Araxa Airport,아락사 공항,AAX,SBAX,중남미,Brazil,브라질,Araxa
Arba Minch Airport,알바민치 공항,AMH,HAAM,아프리카,Ethiopia,이디오피아,Arba Minch
Arcata-Eureka Airport,알카타 유레카 공항,ACV,KACV,북미,United States of America,미국,Arcata
Alar Talimu Airport,아체필드 공항,ACF,ZWAL,아시아,China,중국,Archerfield
Brisbane Archerfield Airport,브리즈번 아처필드 공항,,YBAF,대양주,Australia,오스트레일리아,Archerfield
Arctic Bay Airport,아크틱 베이 공항,YAB,,북미,Canada,캐나다,Arctic Bay
Arctic Village Airport,아틱빌리지 공항,ARC,PARC,북미,United States of America,미국,Arctic Village
Ardabil Airport,아드블 공항,ADU,OITC,중동,Iran,이란,Ardabil
Ardmore Industrial Airpark,아드모어 시공항,ADM,KADM,북미,United States of America,미국,Ardmore
Arequipa Rodriguez Ballon Airport,로드리게즈 발롱 공항,AQP,SPQU,중남미,Peru,페루,Arequipa
Arica Chacalluta Airport,챠깔루타 공항,ARI,SCAR,중남미,Chile,칠레,Arica
Aripuana Airport,아리푸아나 공항,AIR,,중남미,Brazil,브라질,Aripuana
Arkhangelsk Talagi Airport,탈라기 공항,ARH,ULAA,유럽,Russian Federation,러시아,Arkhangelsk
Arlington Municipal Airport (Texas),알링턴 시공항,,KGKY,북미,United States of America,미국,Arlington
Arlit Airport,알릿 공항,RLT,DRZL,아프리카,Niger,니제르,Arlit
Armenia El Eden Airport,엘 에덴 공항,AXM,SKAR,중남미,Colombia,콜롬비아,Armenia
Armidale Airport,아미데일 공항,ARM,YARM,대양주,Australia,오스트레일리아,Armidale
Arona Ulawa Airport,울랴야 공항,RNA,,대양주,Solomon Islands,솔로몬제도,Arona
Arorae Airport,아로래 아일랜드 공항,AIS,NGTR,대양주,Kiribati,키리바시,Arorae
Lanzarote Airport,아리시페 공항,ACE,GCRR,유럽,Spain,스페인,Arrecife
Arthur's Town Airport,아서스 타운 공항,ATC,MYCA,중남미,Bahamas,바하마,Arthur's Town
Arua Airport,아루아 공항,RUA,HUAR,아프리카,Uganda,우간다,Arua
Arusha Airport,아루샤 공항,ARK,HTAR,아프리카,Tanzania,탄자니아,Arusha
Arutua Airport,아루투아 공항,AXR,NTGU,대양주,French Polynesia,프랑스령폴리네시아,Arutua
Arviat Airport,아르비앗 공항,YEK,CYEK,북미,Canada,캐나다,Arviat
Arvidsjaur Airport,아르비스야우르 공항,AJR,ESNX,유럽,Sweden,스웨덴,Arvidsjaur
Arxan Yi'ershi Airport,아르산이얼시공항,YIE,ZBES,아시아,China,중국,Arxan
Asaba International Airport,아사바 국제공항,ABB,DNAS,아프리카,Nigeria,나이지리아,Asaba
Asahikawa Airport,아사히카와 공항,AKJ,RJEC,아시아,Japan,일본,Asahikawa
Asaloyeh Persian Gulf Airport,페르시아만 공항,PGU,OIBP,중동,Iran,이란,Asalooye
Aracati Dragao do Mar Airport,아라카티 드라가오 도 마르 공항,ARX,,중남미,Brazil,브라질,Asbury Park
Ashgabat International Airport,아쉬카밧 공항,ASB,UTAA,아시아,Turkmenistan,투르크메니스탄,Ashgabat ( Ashkhabad )
Asmara International Airport,아스마라 국제공항,ASM,HHAS,아프리카,Eritrea,에리트레아,Asmara
Ewer Airport,우어 공항,EWE,,아시아,Indonesia,인도네시아,Asmat
Asosa Airport,아소사 공항,ASO,HASO,아프리카,Ethiopia,이디오피아,Asosa
Aspen/Pitkin County Airport,아스펜 핏킨 공항,ASE,KASE,북미,United States of America,미국,Aspen
Assab International Airport,아사브 국제공항,ASA,HHSB,아프리카,Eritrea,에리트레아,Assab
Asyut Airport,앗슈이 공항,ATZ,HEAT,아프리카,Egypt,이집트,Assiut
Astoria Regional Airport,아스토리아 공항,AST,KAST,북미,United States of America,미국,Astoria
Astrakhan Narimanovo Airport,아스트라한 공항,ASF,URWA,유럽,Russian Federation,러시아,Astrakhan
Asturias Airport,아스투리아스 공항,OVD,LEAS,유럽,Spain,스페인,Asturias
Astypalaia Island Airport,아스챠이팔리야 아일랜드 내셔널 공항,JTY,LGPL,유럽,Greece,그리스,Astypalaia
Asuncion Silvio Pettirossi International Airport,실비오 페트로씨 공항,ASU,SGAS,중남미,Paraguay,파라과이,Asuncion
Aswan Daraw Airport,아스완국제공항,ASW,HESN,아프리카,Egypt,이집트,Aswan
Atambua Haliwen Airport,할리웬 공항,ABU,WATA,아시아,Indonesia,인도네시아,Atambua
Ataq Airport,아탁 공항,AXK,,중동,Yemen,예멘,Ataq
Athens Ben Epps Airport,아테네 벤 에프스 공항,AHN,KAHN,북미,United States of America,미국,Athens
Athens International Airport,엘레프테리오스 베니젤로스 국제공항,ATH,LGAV,유럽,Greece,그리스,Athens / Sparta
Atiu Island Airport,에누아 공항,AIU,,대양주,Cook Islands,쿡 군도,Atiu
Atka Airport,아카 공항,AKB,PAAK,북미,United States of America,미국,Atka
Atlanta Hartsfield-Jackson International Airport,하츠필드 잭슨 애틀랜타 국제공항,ATL,KATL,북미,United States of America,미국,Atlanta
Atlanta Fulton County Airport,풀톤 카운티 공항 ,FTY,KFTY,북미,United States of America,미국,Atlanta
Atlanta DeKalb Peachtree Airport,애틀랜타 디칼브 피치트리 공항,PDK,KPDK,북미,United States of America,미국,Atlanta
Atlantic City International Airport,애틀랜틱시티 국제공항,ACY,KACY,북미,United States of America,미국,Atlantic City
Atmautluak Airport,아트마우트락 공항,ATT,,북미,United States of America,미국,Atmautluak
Atoifi Airport,우루 하버 공항,ATD,,대양주,Solomon Islands,솔로몬제도,Atoifi
Atqasuk Airport,앳가숙 공항,ATK,PATQ,북미,United States of America,미국,Atqasuk
Attawapiskat Airport,아타와피스카트 공항,YAT,,북미,Canada,캐나다,Attawapiskat
Attapeu International Airport,아토푸 공항,AOU,VLAP,아시아,Laos,라오스,Attopeu
Atyrau Airport,아티라우 공항,GUW,UATG,아시아,Kazakhstan,카자흐스탄,Atyrau
Auburn University Regional Airport,오번 오플라이카 로버트 G. 피츠 공항,AUO,,북미,United States of America,미국,Auburn
Auckland International Airport,오클랜드 국제공항,AKL,NZAA,대양주,New Zealand,뉴질랜드,Auckland
Augusta State Airport,오거스타 스테이트 공항,AUG,KAUG,북미,United States of America,미국,Augusta
Augusta Regional Airport,오거스타 지역공항,AGS,KAGS,북미,United States of America,미국,"Augusta , Richmond County"
Auki Gwaunaru'u Airport,과우나루우 공항,AKS,AGGA,대양주,Solomon Islands,솔로몬제도,Auki
