영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Madrid Barajas Airport,마드리드 바라쟈스 공항,MAD,LEMD,유럽,Spain,스페인,Madrid
Madurai Airport,마두라이 공항,IXM,VOMD,아시아,India,인도,Madurai
Mae Hong Son Airport,매홍선 공항,HGN,VTCH,아시아,Thailand,태국,Mae Hong Son
Mae Sot Airport,매 솟 공항,MAQ,VTPM,아시아,Thailand,태국,Mae Sot
Maewo Airport,마외 니오니 공항,MWF,,대양주,Vanuatu,바누아투,Maewo Naone
Mafeteng Airport,마페텡 공항,MFC,,아프리카,Lesotho,레소토,Mafeteng
Mafia Island Airport,마피아 공항,MFA,HTMA,아프리카,Tanzania,탄자니아,Mafia
Magadan Sokol Airport,수코이 공항,GDX,UHMM,유럽,Russian Federation,러시아,Magadan
Magan Airport,마간 공항,GYG,UEMM,유럽,Russian Federation,러시아,Magan
Dobbins ARB,바라코아 공항,MGE,,북미,United States of America,미국,Magangue
Magas Airport,마가스 공항,IGT,URMS,유럽,Russian Federation,러시아,Magas
Magdeburg Cochstedt Airport,마그데부르크 코슈테트 공항,CSO,EDBC,유럽,Germany,독일,Magdeburg
Magnitogorsk Airport,마그니토고르스크 공항,MQF,USCM,유럽,Russian Federation,러시아,Magnitogorsk
Magwe Airport,마그웨 공항,MWQ,,아시아,Myanmar,버마,Magway
Seychelles International Airport,세이셸 국제공항,SEZ,FSIA,아프리카,Seychelles,세이셸,Mahe Island
Bandar Mahshahr Mahshahr Airport,머샤흐 공항,MRX,,중동,Iran,이란,Mahshahr
Maiana Airport,마이아나 공항,MNK,NGMA,대양주,Kiribati,키리바시,Maiana
Maicao La Majayura Airport,라 미나 공항,MCJ,,중남미,Colombia,콜롬비아,Maicao
Maiduguri International Airport,마이두구리 국제공항,MIU,DNMA,아프리카,Nigeria,나이지리아,Maiduguri
Maimana Airport,마이마나 공항,MMZ,OAMN,중동,Afghanistan,아프카니스탄,Maimana
Maintirano Airport,메인티라노 공항,MXT,,아프리카,Madagascar,마다가스카르,Maintirano
Maio Vila Do Maio Airport,빌라 도마이오 공항,MMO,GVMA,아프리카,Cape Verde,카보베르데,Maio
Caracas Simon Bolivar International Airport,시몬 볼리바 국제공항 ,CCS,SVMI,중남미,Venezuela,베네수엘라,Maiquetia / Caracas
West Java Kertajati International Airport,케르타자티 국제공항,KJT,WICA,아시아,Indonesia,인도네시아,MAJALENGKA
Majkin Airport,마즈킨 공항,MJE,,대양주,Marshall Islands,마셜제도,Majkin
Mahajanga Amborovy Airport,암보로비 공항,MJN,FMNM,아프리카,Madagascar,마다가스카르,Majunga
Marshall Islands International Airport,아마타 카부아 국제공항,MAJ,PKMJ,대양주,Marshall Islands,마셜제도,Majuro
Makale Airport,알류아 아바 공항,MQX,,아프리카,Ethiopia,이디오피아,Makale
Tana Toraja Pongtiku Airport,타나 토라자 퐁티쿠 공항,TTR,WAFT,아시아,Indonesia,인도네시아,Makale
Makemo Airport,마케모 공항,MKP,NTGM,대양주,French Polynesia,프랑스령폴리네시아,Makemo
Makhachkala Uytash Airport,우이타쉬 공항,MCX,URML,유럽,Russian Federation,러시아,Makhachkala
